state,candidate,party,year,candidatevotes
Mississippi,"Obama, Barack H.",1.0,2008,554662
Mississippi,"Nader, Ralph",3.0,2008,4011
Mississippi,"Baldwin, Charles """"Chuck""""",3.0,2008,2551
Mississippi,"Barr, Bob",3.0,2008,2529
Mississippi,"McKinney, Cynthia",3.0,2008,1034
Mississippi,"Weill, Ted",3.0,2008,481
Missouri,"McCain, John",2.0,2008,1445814
Missouri,"Obama, Barack H.",1.0,2008,1441911
Missouri,"Nader, Ralph",3.0,2008,17813
Missouri,"Barr, Bob",3.0,2008,11386
Missouri,"Baldwin, Charles """"Chuck""""",3.0,2008,8201
Missouri,"McKinney, Cynthia",3.0,2008,80
Montana,"McCain, John",2.0,2008,242763
Montana,"Obama, Barack H.",1.0,2008,231667
Montana,"Paul, Ronald """"Ron""""",3.0,2008,10638
Montana,"Nader, Ralph",3.0,2008,3686
Montana,"Barr, Bob",3.0,2008,1355
Nebraska,"McCain, John",2.0,2008,452979
Nebraska,"Obama, Barack H.",1.0,2008,333319
Nebraska,"Nader, Ralph",3.0,2008,5406
Nebraska,"Baldwin, Charles """"Chuck""""",3.0,2008,2972
Nebraska,Blank Vote,3.0,2008,2837
Nebraska,"Barr, Bob",3.0,2008,2740
Nebraska,"McKinney, Cynthia",3.0,2008,1028
Nevada,"Obama, Barack H.",1.0,2008,533736
Nevada,"McCain, John",2.0,2008,412827
Nevada,None Of These Candidates,3.0,2008,6267
Nevada,"Nader, Ralph",3.0,2008,6150
Nevada,"Barr, Bob",3.0,2008,4263
Nevada,"Baldwin, Charles """"Chuck""""",3.0,2008,3194
Nevada,"McKinney, Cynthia",3.0,2008,1411
New Hampshire,"Obama, Barack H.",1.0,2008,384826
New Hampshire,"McCain, John",2.0,2008,316534
New Hampshire,"Nader, Ralph",3.0,2008,3503
New Hampshire,Blank Vote,3.0,2008,3359
New Hampshire,"Barr, Bob",3.0,2008,2748
New Jersey,"Obama, Barack H.",1.0,2008,2215422
New Jersey,"McCain, John",2.0,2008,1613207
New Jersey,"Nader, Ralph",3.0,2008,21298
New Jersey,"Barr, Bob",3.0,2008,8441
New Jersey,"Baldwin, Charles """"Chuck""""",3.0,2008,3956
New Jersey,"McKinney, Cynthia",3.0,2008,3636
New Jersey,"Moore, Brian",3.0,2008,699
New Jersey,"Boss, Jeffery",3.0,2008,639
New Jersey,"Calero, Roger",3.0,2008,523
New Jersey,"La Riva, Gloria Estella",3.0,2008,416
New Mexico,"Obama, Barack H.",1.0,2008,472422
New Mexico,"McCain, John",2.0,2008,346832
New Mexico,"Nader, Ralph",3.0,2008,5327
New Mexico,"Barr, Bob",3.0,2008,2428
New Mexico,"Baldwin, Charles """"Chuck""""",3.0,2008,1597
New Mexico,"McKinney, Cynthia",3.0,2008,1552
New York,"Obama, Barack H.",1.0,2008,4645332
New York,"McCain, John",2.0,2008,2418323
New York,"McCain, John",3.0,2008,170475
New York,"McCain, John",3.0,2008,163973
New York,"Obama, Barack H.",3.0,2008,159613
New York,Blank Vote/Scattering,3.0,2008,84701
New York,"Nader, Ralph",3.0,2008,41249
New York,"Barr, Bob",3.0,2008,19596
New York,"McKinney, Cynthia",3.0,2008,12801
New York,"Harris, James",3.0,2008,3615
New York,"La Riva, Gloria Estella",3.0,2008,1639
New York,Blank Vote,3.0,2008,702
North Carolina,"Obama, Barack H.",1.0,2008,2142651
North Carolina,"McCain, John",2.0,2008,2128474
North Carolina,"Barr, Bob",3.0,2008,25722
North Carolina,Blank Vote,3.0,2008,12494
North Carolina,"Nader, Ralph",3.0,2008,1510
North Dakota,"McCain, John",2.0,2008,168601
North Dakota,"Obama, Barack H.",1.0,2008,141278
North Dakota,"Nader, Ralph",3.0,2008,4189
North Dakota,"Barr, Bob",3.0,2008,1354
North Dakota,"Baldwin, Charles """"Chuck""""",3.0,2008,1199
Ohio,"Obama, Barack H.",1.0,2008,2940044
Ohio,"McCain, John",2.0,2008,2677820
Ohio,"Nader, Ralph",3.0,2008,46242
Ohio,"Barr, Bob",3.0,2008,19917
Ohio,"Baldwin, Charles """"Chuck""""",3.0,2008,12565
Ohio,"McKinney, Cynthia",3.0,2008,8518
Ohio,"Moore, Brian",3.0,2008,2735
Ohio,Blank Vote,3.0,2008,509
Oklahoma,"McCain, John",2.0,2008,960165
Oklahoma,"Obama, Barack H.",1.0,2008,502496
Oregon,"Obama, Barack H.",1.0,2008,1037291
Oregon,"McCain, John",2.0,2008,738475
Oregon,"Nader, Ralph",3.0,2008,18614
Oregon,Other,3.0,2008,13613
Oregon,"Baldwin, Charles """"Chuck""""",3.0,2008,7693
Oregon,Blank Vote,3.0,2008,7635
Oregon,"McKinney, Cynthia",3.0,2008,4543
Pennsylvania,"Obama, Barack H.",1.0,2008,3276363
Pennsylvania,"McCain, John",2.0,2008,2655885
Pennsylvania,"Nader, Ralph",3.0,2008,42977
Pennsylvania,"Barr, Bob",3.0,2008,19912
Pennsylvania,Blank Vote,3.0,2008,9955
Pennsylvania,Scattering,3.0,2008,8180
Rhode Island,"Obama, Barack H.",1.0,2008,296571
Rhode Island,"McCain, John",2.0,2008,165391
Rhode Island,"Nader, Ralph",3.0,2008,4829
Rhode Island,Blank Vote,3.0,2008,1999
Rhode Island,"Barr, Bob",3.0,2008,1382
Rhode Island,"McKinney, Cynthia",3.0,2008,797
Rhode Island,"Baldwin, Charles """"Chuck""""",3.0,2008,675
Rhode Island,"La Riva, Gloria Estella",3.0,2008,122
South Carolina,"McCain, John",2.0,2008,1034896
South Carolina,"Obama, Barack H.",1.0,2008,862449
South Carolina,"Barr, Bob",3.0,2008,7283
South Carolina,"Baldwin, Charles """"Chuck""""",3.0,2008,6827
South Carolina,"Nader, Ralph",3.0,2008,5053
South Carolina,"McKinney, Cynthia",3.0,2008,4461
South Dakota,"McCain, John",2.0,2008,203054
South Dakota,"Obama, Barack H.",1.0,2008,170924
South Dakota,"Nader, Ralph",3.0,2008,4267
South Dakota,"Baldwin, Charles """"Chuck""""",3.0,2008,1895
South Dakota,"Barr, Bob",3.0,2008,1835
Tennessee,"McCain, John",2.0,2008,1479178
Tennessee,"Obama, Barack H.",1.0,2008,1087437
Tennessee,Blank Vote,3.0,2008,33134
Texas,"McCain, John",2.0,2008,4479328
Texas,"Obama, Barack H.",1.0,2008,3528633
Texas,"Barr, Bob",3.0,2008,56116
Texas,Blank Vote,3.0,2008,7967
Texas,"Nader, Ralph",3.0,2008,5751
Utah,"McCain, John",2.0,2008,596030
Utah,"Obama, Barack H.",1.0,2008,327670
Utah,"Baldwin, Charles """"Chuck""""",3.0,2008,12012
Utah,"Nader, Ralph",3.0,2008,8416
Utah,"Barr, Bob",3.0,2008,6966
Utah,"McKinney, Cynthia",3.0,2008,982
Utah,"La Riva, Gloria Estella",3.0,2008,262
Utah,Blank Vote,3.0,2008,32
Vermont,"Obama, Barack H.",1.0,2008,219262
Vermont,"McCain, John",2.0,2008,98974
Vermont,"Nader, Ralph",3.0,2008,3339
Vermont,Blank Vote,3.0,2008,1464
Vermont,"Barr, Bob",3.0,2008,1067
Vermont,"Baldwin, Charles """"Chuck""""",3.0,2008,500
Vermont,"Calero, Roger",3.0,2008,150
Vermont,"La Riva, Gloria Estella",3.0,2008,149
Vermont,"Moore, Brian",3.0,2008,141
Virginia,"Obama, Barack H.",1.0,2008,1959532
Virginia,"McCain, John",2.0,2008,1725005
Virginia,"Nader, Ralph",3.0,2008,11483
Virginia,"Barr, Bob",3.0,2008,11067
Virginia,"Baldwin, Charles """"Chuck""""",3.0,2008,7474
Virginia,Blank Vote,3.0,2008,6355
Virginia,"McKinney, Cynthia",3.0,2008,2344
Washington,"Obama, Barack H.",1.0,2008,1750848
Washington,"McCain, John",2.0,2008,1229216
Washington,"Nader, Ralph",3.0,2008,29489
Washington,"Barr, Bob",3.0,2008,12728
Washington,"Baldwin, Charles """"Chuck""""",3.0,2008,9432
Washington,"McKinney, Cynthia",3.0,2008,3819
Washington,"La Riva, Gloria Estella",3.0,2008,705
Washington,"Harris, James",3.0,2008,641
West Virginia,"McCain, John",2.0,2008,397466
West Virginia,"Obama, Barack H.",1.0,2008,303857
West Virginia,"Nader, Ralph",3.0,2008,7219
West Virginia,"Baldwin, Charles """"Chuck""""",3.0,2008,2465
West Virginia,"McKinney, Cynthia",3.0,2008,2355
West Virginia,Blank Vote,3.0,2008,89
Wisconsin,"Obama, Barack H.",1.0,2008,1677211
Wisconsin,"McCain, John",2.0,2008,1262393
Wisconsin,"Nader, Ralph",3.0,2008,17605
Wisconsin,"Barr, Bob",3.0,2008,8858
Wisconsin,Scattering,3.0,2008,6521
Wisconsin,"Baldwin, Charles """"Chuck""""",3.0,2008,5072
Wisconsin,"McKinney, Cynthia",3.0,2008,4216
Wisconsin,"Wamboldt, Jeffrey",3.0,2008,764
Wisconsin,"Moore, Brian",3.0,2008,540
Wisconsin,"La Riva, Gloria Estella",3.0,2008,237
Wyoming,"McCain, John",2.0,2008,164958
Wyoming,"Obama, Barack H.",1.0,2008,82868
Wyoming,Blank Vote,3.0,2008,3717
Wyoming,"Barr, Bob",3.0,2008,1594
Wyoming,Blank Vote,3.0,2008,1521
Wyoming,Over Vote,3.0,2008,246
Alabama,"Romney, Mitt",2.0,2012,1255925
Alabama,"Obama, Barack H.",1.0,2012,795696
Alabama,Blank Vote,3.0,2012,18706
Alabama,Blank Vote,3.0,2012,4011
Alaska,"Romney, Mitt",2.0,2012,164676
Alaska,"Obama, Barack H.",1.0,2012,122640
Alaska,"Johnson, Gary",3.0,2012,7392
Alaska,"Stein, Jill",3.0,2012,2917
Alaska,Blank Vote,3.0,2012,2870
Arizona,"Romney, Mitt",2.0,2012,1233654
Arizona,"Obama, Barack H.",1.0,2012,1025232
Arizona,"Johnson, Gary",3.0,2012,32100
Arizona,"Stein, Jill",3.0,2012,7816
Arizona,Blank Vote,3.0,2012,452
Arkansas,"Romney, Mitt",2.0,2012,647744
Arkansas,"Obama, Barack H.",1.0,2012,394409
Arkansas,"Johnson, Gary",3.0,2012,16276
Arkansas,"Stein, Jill",3.0,2012,9305
Arkansas,"La Riva, Gloria Estella",3.0,2012,1734
California,"Obama, Barack H.",1.0,2012,7854285
California,"Romney, Mitt",2.0,2012,4839958
California,"Johnson, Gary",3.0,2012,143221
California,"Stein, Jill",3.0,2012,85638
California,"Barr, Roseanne",3.0,2012,53824
California,"Hoefling, Thomas Conrad """"Tom""""",3.0,2012,38372
California,Blank Vote,3.0,2012,23249
Colorado,"Obama, Barack H.",1.0,2012,1323101
Colorado,"Romney, Mitt",2.0,2012,1185243
Colorado,"Johnson, Gary",3.0,2012,35545
Colorado,"Stein, Jill",3.0,2012,7508
Colorado,"Goode, Virgil Hamlin, Jr.",3.0,2012,6234
Colorado,"Barr, Roseanne",3.0,2012,5057
Colorado,"Reed, Jill Ann",3.0,2012,2588
Colorado,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1262
Colorado,"Tittle, Sheila """"Samm""""",3.0,2012,791
Colorado,"Hoefling, Thomas Conrad """"Tom""""",3.0,2012,679
Colorado,"La Riva, Gloria Estella",3.0,2012,317
Colorado,"Alexander, Stewart",3.0,2012,308
Colorado,"Miller, Merlin",3.0,2012,267
Colorado,"Stevens, Thomas Robert """"Tom""""",3.0,2012,235
Colorado,"Harris, James",3.0,2012,192
Colorado,"White, Jerry",3.0,2012,189
Connecticut,"Obama, Barack H.",1.0,2012,905083
Connecticut,"Romney, Mitt",2.0,2012,634892
Connecticut,"Johnson, Gary",3.0,2012,12340
Connecticut,Blank Vote,3.0,2012,4971
Connecticut,Blank Vote,3.0,2012,918
Delaware,"Obama, Barack H.",1.0,2012,242584
Delaware,"Romney, Mitt",2.0,2012,165484
Delaware,"Johnson, Gary",3.0,2012,3882
Delaware,"Stein, Jill",3.0,2012,1940
District of Columbia,"Obama, Barack H.",1.0,2012,267070
District of Columbia,"Romney, Mitt",2.0,2012,21381
District of Columbia,"Stein, Jill",3.0,2012,2458
District of Columbia,"Johnson, Gary",3.0,2012,2083
District of Columbia,Blank Vote,3.0,2012,772
Florida,"Obama, Barack H.",1.0,2012,4237756
Florida,"Romney, Mitt",2.0,2012,4163447
Florida,"Johnson, Gary",3.0,2012,44726
Florida,"Stein, Jill",3.0,2012,8947
Florida,"Barr, Roseanne",3.0,2012,8154
Florida,"Stevens, Thomas Robert """"Tom""""",3.0,2012,3856
Florida,"Goode, Virgil Hamlin, Jr.",3.0,2012,2607
Florida,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1754
Florida,"Hoefling, Thomas Conrad """"Tom""""",3.0,2012,946
Florida,"Barnett, Andre",3.0,2012,820
Florida,"Alexander, Stewart",3.0,2012,799
Florida,"Lindsay, Peta",3.0,2012,322
Florida,Blank Vote,3.0,2012,45
Georgia,"Romney, Mitt",2.0,2012,2078688
Georgia,"Obama, Barack H.",1.0,2012,1773827
Georgia,"Johnson, Gary",3.0,2012,45324
Hawaii,"Obama, Barack H.",1.0,2012,306658
Hawaii,"Romney, Mitt",2.0,2012,121015
Hawaii,"Johnson, Gary",3.0,2012,3840
Hawaii,"Stein, Jill",3.0,2012,3184
Hawaii,Blank Vote,3.0,2012,2227
Hawaii,Over Vote,3.0,2012,235
Idaho,"Romney, Mitt",2.0,2012,420911
Idaho,"Obama, Barack H.",1.0,2012,212787
Idaho,"Johnson, Gary",3.0,2012,9453
Idaho,Blank Vote,3.0,2012,6901
Idaho,"Goode, Virgil Hamlin, Jr.",3.0,2012,2222
Illinois,"Obama, Barack H.",1.0,2012,3019512
Illinois,"Romney, Mitt",2.0,2012,2135216
Illinois,"Johnson, Gary",3.0,2012,56229
Illinois,"Stein, Jill",3.0,2012,30222
Illinois,Blank Vote,3.0,2012,835
Indiana,"Romney, Mitt",2.0,2012,1420543
Indiana,"Obama, Barack H.",1.0,2012,1152887
Indiana,"Johnson, Gary",3.0,2012,50111
Indiana,Blank Vote,3.0,2012,993
Iowa,"Obama, Barack H.",1.0,2012,822544
Iowa,"Romney, Mitt",2.0,2012,730617
Iowa,"Johnson, Gary",3.0,2012,12926
Iowa,Blank Vote,3.0,2012,7442
Iowa,"Stein, Jill",3.0,2012,3769
Iowa,"Goode, Virgil Hamlin, Jr.",3.0,2012,3038
Iowa,Blank Vote,3.0,2012,1027
Iowa,"Harris, James",3.0,2012,445
Iowa,"La Riva, Gloria Estella",3.0,2012,372
Kansas,"Romney, Mitt",2.0,2012,692634
Kansas,"Obama, Barack H.",1.0,2012,440726
Kansas,"Johnson, Gary",3.0,2012,20456
Kansas,"Baldwin, Charles """"Chuck""""",3.0,2012,5017
Kansas,Blank Vote,3.0,2012,1138
Kentucky,"Romney, Mitt",2.0,2012,1087190
Kentucky,"Obama, Barack H.",1.0,2012,679370
Kentucky,"Johnson, Gary",3.0,2012,17063
Kentucky,"Terry, Randall",3.0,2012,6872
Kentucky,"Stein, Jill",3.0,2012,6337
Kentucky,Blank Vote,3.0,2012,380
Louisiana,"Romney, Mitt",2.0,2012,1152262
Louisiana,"Obama, Barack H.",1.0,2012,809141
Louisiana,"Johnson, Gary",3.0,2012,18157
Louisiana,"Stein, Jill",3.0,2012,6978
Louisiana,"Goode, Virgil Hamlin, Jr.",3.0,2012,2508
Louisiana,"Tittle, Sheila """"Samm""""",3.0,2012,1767
Louisiana,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1368
Louisiana,"Lindsay, Peta",3.0,2012,622
Louisiana,"Fellure, Lowell Jackson """"Jack""""",3.0,2012,518
Louisiana,"Harris, James",3.0,2012,389
Louisiana,"White, Jerome """"Jerry""""",3.0,2012,355
Maine,"Obama, Barack H.",1.0,2012,401306
Maine,"Romney, Mitt",2.0,2012,292276
Maine,Blank Vote,3.0,2012,11578
Maine,"Johnson, Gary",3.0,2012,9352
Maine,"Stein, Jill",3.0,2012,8119
Maine,Blank Vote,3.0,2012,2127
Maryland,"Obama, Barack H.",1.0,2012,1677844
Maryland,"Romney, Mitt",2.0,2012,971869
Maryland,"Johnson, Gary",3.0,2012,30195
Maryland,"Stein, Jill",3.0,2012,17110
Maryland,Blank Vote,3.0,2012,10309
Massachusetts,"Obama, Barack H.",1.0,2012,1921290
Massachusetts,"Romney, Mitt",2.0,2012,1188314
Massachusetts,"Johnson, Gary",3.0,2012,30920
Massachusetts,"Stein, Jill",3.0,2012,20691
Massachusetts,Blank Vote/Scattering,3.0,2012,16429
Massachusetts,Other,3.0,2012,6552
Michigan,"Obama, Barack H.",1.0,2012,2564569
Michigan,"Romney, Mitt",2.0,2012,2115256
Michigan,"Stein, Jill",3.0,2012,21897
Michigan,"Goode, Virgil Hamlin, Jr.",3.0,2012,16119
Michigan,Blank Vote,3.0,2012,7973
Michigan,"Anderson, Ross Carl """"Rocky""""",3.0,2012,5147
Minnesota,"Obama, Barack H.",3.0,2012,1546167
Minnesota,"Romney, Mitt",2.0,2012,1320225
Minnesota,"Johnson, Gary",3.0,2012,35098
Minnesota,"Stein, Jill",3.0,2012,13023
Minnesota,Blank Vote,3.0,2012,10641
Minnesota,"Goode, Virgil Hamlin, Jr.",3.0,2012,3722
Minnesota,"Carlson, Jim",3.0,2012,3149
Minnesota,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1996
Minnesota,"Morstad, Dean",3.0,2012,1092
Minnesota,"Harris, James",3.0,2012,1051
Minnesota,"Lindsay, Peta",3.0,2012,397
Mississippi,"Romney, Mitt",2.0,2012,710746
Mississippi,"Obama, Barack H.",1.0,2012,562949
Mississippi,"Johnson, Gary",3.0,2012,6676
Mississippi,"Goode, Virgil Hamlin, Jr.",3.0,2012,2609
Mississippi,"Stein, Jill",3.0,2012,1588
Mississippi,"Washer, Barbara Dale",3.0,2012,1016
Missouri,"Romney, Mitt",2.0,2012,1482440
Missouri,"Obama, Barack H.",1.0,2012,1223796
Missouri,"Johnson, Gary",3.0,2012,43151
Missouri,"Goode, Virgil Hamlin, Jr.",3.0,2012,7936
Montana,"Romney, Mitt",2.0,2012,267928
Montana,"Obama, Barack H.",1.0,2012,201839
Montana,"Johnson, Gary",3.0,2012,14165
Montana,Blank Vote,3.0,2012,116
Nebraska,"Romney, Mitt",2.0,2012,475064
Nebraska,"Obama, Barack H.",1.0,2012,302081
Nebraska,"Johnson, Gary",3.0,2012,11109
Nebraska,Blank Vote,3.0,2012,3717
Nebraska,Blank Vote,3.0,2012,2408
Nevada,"Obama, Barack H.",1.0,2012,531373
Nevada,"Romney, Mitt",2.0,2012,463567
Nevada,"Johnson, Gary",3.0,2012,10968
Nevada,None Of These Candidates,3.0,2012,5770
Nevada,"Goode, Virgil Hamlin, Jr.",3.0,2012,3240
New Hampshire,"Obama, Barack H.",1.0,2012,369561
New Hampshire,"Romney, Mitt",2.0,2012,329918
New Hampshire,"Johnson, Gary",3.0,2012,8212
New Hampshire,Blank Vote,3.0,2012,1698
New Hampshire,Scattering,3.0,2012,875
New Hampshire,"Goode, Virgil Hamlin, Jr.",3.0,2012,708
New Jersey,"Obama, Barack H.",1.0,2012,2122786
New Jersey,"Romney, Mitt",2.0,2012,1478088
New Jersey,"Johnson, Gary",3.0,2012,21035
New Jersey,"Stein, Jill",3.0,2012,9886
New Jersey,"Goode, Virgil Hamlin, Jr.",3.0,2012,2063
New Jersey,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1723
New Jersey,"Boss, Jeffery",3.0,2012,1024
New Jersey,"Harris, James",3.0,2012,709
New Jersey,"Miller, Merlin",3.0,2012,664
New Jersey,"Lindsay, Peta",3.0,2012,521
New Mexico,"Obama, Barack H.",1.0,2012,415335
New Mexico,"Romney, Mitt",2.0,2012,335788
New Mexico,"Johnson, Gary",3.0,2012,27788
New Mexico,"Stein, Jill",3.0,2012,2691
New Mexico,Blank Vote,3.0,2012,1174
New Mexico,"Goode, Virgil Hamlin, Jr.",3.0,2012,982
New York,"Obama, Barack H.",1.0,2012,4324228
New York,"Romney, Mitt",2.0,2012,2223397
New York,"Romney, Mitt",3.0,2012,262035
New York,"Obama, Barack H.",3.0,2012,147643
New York,Blank Vote/Void Vote/Scattering,3.0,2012,63881
New York,"Johnson, Gary",3.0,2012,47092
New York,"Stein, Jill",3.0,2012,39856
New York,"Goode, Virgil Hamlin, Jr.",3.0,2012,6270
New York,"Lindsay, Peta",3.0,2012,2039
New York,Blank Vote,3.0,2012,343
North Carolina,"Romney, Mitt",2.0,2012,2270395
North Carolina,"Obama, Barack H.",1.0,2012,2178391
North Carolina,"Johnson, Gary",3.0,2012,44515
North Carolina,Blank Vote,3.0,2012,12071
North Dakota,"Romney, Mitt",2.0,2012,188320
North Dakota,"Obama, Barack H.",1.0,2012,124966
North Dakota,"Johnson, Gary",3.0,2012,5238
North Dakota,Blank Vote,3.0,2012,1860
North Dakota,"Goode, Virgil Hamlin, Jr.",3.0,2012,1186
North Dakota,"Stein, Jill",3.0,2012,1362
Ohio,"Obama, Barack H.",1.0,2012,2827621
Ohio,"Romney, Mitt",2.0,2012,2661407
Ohio,"Johnson, Gary",3.0,2012,49493
Ohio,"Stein, Jill",3.0,2012,18574
Ohio,"Duncan, Richard",3.0,2012,12502
Ohio,"Goode, Virgil Hamlin, Jr.",3.0,2012,8151
Ohio,"Alexander, Stewart",3.0,2012,2967
Ohio,Blank Vote,3.0,2012,107
Oklahoma,"Romney, Mitt",2.0,2012,891325
Oklahoma,"Obama, Barack H.",1.0,2012,443547
Oregon,"Obama, Barack H.",1.0,2012,970488
Oregon,"Romney, Mitt",2.0,2012,754175
Oregon,"Johnson, Gary",3.0,2012,24089
Oregon,"Stein, Jill",3.0,2012,19427
Oregon,Other,3.0,2012,13275
Oregon,"Christensen, Will",3.0,2012,4432
Oregon,"Anderson, Ross Carl """"Rocky""""",3.0,2012,3384
Pennsylvania,"Obama, Barack H.",1.0,2012,2990274
Pennsylvania,"Romney, Mitt",2.0,2012,2680434
Pennsylvania,"Johnson, Gary",3.0,2012,49991
Pennsylvania,"Stein, Jill",3.0,2012,21341
Rhode Island,"Obama, Barack H.",1.0,2012,279677
Rhode Island,"Romney, Mitt",2.0,2012,157204
Rhode Island,"Johnson, Gary",3.0,2012,4388
Rhode Island,"Stein, Jill",3.0,2012,2421
Rhode Island,Blank Vote,3.0,2012,1381
Rhode Island,"Goode, Virgil Hamlin, Jr.",3.0,2012,430
Rhode Island,"Anderson, Ross Carl """"Rocky""""",3.0,2012,416
Rhode Island,"Lindsay, Peta",3.0,2012,132
South Carolina,"Romney, Mitt",2.0,2012,1071645
South Carolina,"Obama, Barack H.",1.0,2012,865941
South Carolina,"Johnson, Gary",3.0,2012,16321
South Carolina,"Stein, Jill",3.0,2012,5446
South Carolina,"Goode, Virgil Hamlin, Jr.",3.0,2012,4765
South Dakota,"Romney, Mitt",2.0,2012,210610
South Dakota,"Obama, Barack H.",1.0,2012,145039
South Dakota,"Johnson, Gary",3.0,2012,5795
South Dakota,"Goode, Virgil Hamlin, Jr.",3.0,2012,2371
Tennessee,"Romney, Mitt",2.0,2012,1462330
Tennessee,"Obama, Barack H.",1.0,2012,960709
Tennessee,Blank Vote,3.0,2012,23001
Tennessee,"Stein, Jill",3.0,2012,6515
Tennessee,"Goode, Virgil Hamlin, Jr.",3.0,2012,6022
Texas,"Romney, Mitt",2.0,2012,4569843
Texas,"Obama, Barack H.",1.0,2012,3308124
Texas,"Johnson, Gary",3.0,2012,88580
Texas,"Stein, Jill",3.0,2012,24657
Texas,Blank Vote,3.0,2012,2647
Utah,"Romney, Mitt",2.0,2012,740600
Utah,"Obama, Barack H.",1.0,2012,251813
Utah,"Johnson, Gary",3.0,2012,12572
Utah,"Anderson, Ross Carl """"Rocky""""",3.0,2012,5335
Utah,"Stein, Jill",3.0,2012,3817
Utah,"Goode, Virgil Hamlin, Jr.",3.0,2012,2871
Utah,Blank Vote,3.0,2012,393
Utah,Blank Vote,3.0,2012,39
Vermont,"Obama, Barack H.",1.0,2012,199239
Vermont,"Romney, Mitt",2.0,2012,92698
Vermont,"Johnson, Gary",3.0,2012,3487
Vermont,Blank Vote,3.0,2012,2043
Vermont,"Anderson, Ross Carl """"Rocky""""",3.0,2012,1128
Vermont,"Lindsay, Peta",3.0,2012,695
Virginia,"Obama, Barack H.",1.0,2012,1971820
Virginia,"Romney, Mitt",2.0,2012,1822522
Virginia,"Johnson, Gary",3.0,2012,31216
Virginia,"Goode, Virgil Hamlin, Jr.",3.0,2012,13058
Virginia,"Stein, Jill",3.0,2012,8627
Virginia,Blank Vote,3.0,2012,7246
Washington,"Obama, Barack H.",1.0,2012,1755396
Washington,"Mitt, Romney",2.0,2012,1290670
Washington,"Johnson, Gary",3.0,2012,42202
Washington,"Stein, Jill",3.0,2012,20928
Washington,"Goode, Virgil Hamlin, Jr.",3.0,2012,8851
Washington,"Anderson, Ross Carl """"Rocky""""",3.0,2012,4946
Washington,"Lindsay, Peta",3.0,2012,1318
Washington,"Harris, James",3.0,2012,1205
West Virginia,"Romney, Mitt",2.0,2012,417655
West Virginia,"Obama, Barack H.",1.0,2012,238269
West Virginia,"Johnson, Gary",3.0,2012,6302
West Virginia,"Stein, Jill",3.0,2012,4406
West Virginia,Blank Vote,3.0,2012,3806
Wisconsin,"Obama, Barack H.",1.0,2012,1620985
Wisconsin,"Romney, Mitt",2.0,2012,1410966
Wisconsin,Blank Vote,3.0,2012,29383
Wisconsin,Scattering,3.0,2012,5170
Wisconsin,"Goode, Virgil Hamlin, Jr.",3.0,2012,4930
Wyoming,"Romney, Mitt",2.0,2012,170962
Wyoming,"Obama, Barack H.",1.0,2012,69286
Wyoming,"Johnson, Gary",3.0,2012,5326
Wyoming,Blank Vote,3.0,2012,2035
Wyoming,"Goode, Virgil Hamlin, Jr.",3.0,2012,1452
Wyoming,Blank Vote,3.0,2012,1367
Wyoming,Over Vote,3.0,2012,273
Alabama,"Trump, Donald J.",2.0,2016,1318255
Alabama,"Clinton, Hillary",1.0,2016,729547
Alabama,"Johnson, Gary",3.0,2016,44467
Alabama,Blank Vote,3.0,2016,21712
Alabama,"Stein, Jill",3.0,2016,9391
Alaska,"Trump, Donald J.",2.0,2016,163387
Alaska,"Clinton, Hillary",1.0,2016,116454
Alaska,"Johnson, Gary",3.0,2016,18725
Alaska,Blank Vote,3.0,2016,9201
Alaska,"Stein, Jill",3.0,2016,5735
Alaska,"Castle, Darrell L.",3.0,2016,3866
Alaska,"De La Fuente, Roque """"Rocky""""",3.0,2016,1240
Arizona,"Trump, Donald J.",2.0,2016,1252401
Arizona,"Clinton, Hillary",1.0,2016,1161167
Arizona,"Johnson, Gary",3.0,2016,106327
Arizona,"Stein, Jill",3.0,2016,34345
Arizona,Blank Vote,3.0,2016,17473
Arizona,"Castle, Darrell L.",3.0,2016,1058
Arizona,Blank Vote,3.0,2016,311
Arizona,Blank Vote,1.0,2016,42
Arizona,"De La Fuente, Roque """"Rocky""""",3.0,2016,29
Arizona,"Tittle, Sheila """"Samm""""",3.0,2016,12
Arkansas,"Trump, Donald J.",2.0,2016,684872
Arkansas,"Clinton, Hillary",1.0,2016,380494
Arkansas,"Johnson, Gary",3.0,2016,29829
Arkansas,"McMullin, Evan",3.0,2016,13255
Arkansas,"Stein, Jill",3.0,2016,9473
Arkansas,"Hedges, Jim",3.0,2016,4709
Arkansas,"Castle, Darrell L.",3.0,2016,4613
Arkansas,"Kahn, Lynn S.",3.0,2016,3390
California,"Clinton, Hillary",1.0,2016,8753788
California,"Trump, Donald J.",2.0,2016,4483810
California,"Johnson, Gary",3.0,2016,478500
California,"Stein, Jill",3.0,2016,278657
California,Blank Vote,3.0,2016,120739
California,"La Riva, Gloria Estella",3.0,2016,66101
Colorado,"Clinton, Hillary",1.0,2016,1338870
Colorado,"Trump, Donald J.",2.0,2016,1202484
Colorado,"Johnson, Gary",3.0,2016,144121
